epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.9947525262832642,
0,99,,0.9611188173294067,
0,149,,0.7173129320144653,
0,199,,0.6692865490913391,
0,249,,0.584260106086731,
0,299,,0.633811354637146,
0,349,,0.4139915406703949,
0,399,,0.5758488774299622,
0,449,,0.5595943331718445,
0,499,,0.5299800634384155,
0,549,,0.4953274726867676,
0,599,,0.5025131702423096,
0,649,,0.4738445281982422,
0,699,,0.4740329384803772,
0,749,,0.4809570908546448,
0,799,,0.5275242328643799,
0,849,,0.39267581701278687,
0,899,,0.4180513024330139,
0,949,,0.45678120851516724,
0,999,,0.477581262588501,
0,1049,,0.42995786666870117,
0,1099,,0.3893125057220459,
0,1149,,0.5315693616867065,
0,1199,,0.5403313636779785,
0,1249,,0.5607168078422546,
0,1299,,0.446508526802063,
0,1349,,0.43611952662467957,
0,1399,,0.47045770287513733,
0,1449,,0.4553833305835724,
0,1499,,0.5010586977005005,
0,1549,,0.5010756254196167,
0,1599,,0.41662612557411194,
0,1649,,0.4225589334964752,
0,1699,,0.502514123916626,
0,1749,,0.4447823166847229,
0,1799,,0.40852153301239014,
0,1849,,0.4169764518737793,
0,1899,,0.5669359564781189,
0,1949,,0.45982903242111206,
0,1999,,0.41952311992645264,
0,2049,,0.4453575909137726,
0,2099,,0.5110924243927002,
0,2149,,0.39828401803970337,
0,2199,,0.3980281949043274,
0,2249,,0.4613743722438812,
0,2299,,0.4526439905166626,
0,2349,,0.470089852809906,
0,2399,,0.4671430289745331,
0,2449,,0.5423953533172607,
0,2499,,0.4330140948295593,
0,2549,,0.41935884952545166,
0,2599,,0.3862043619155884,
0,2649,,0.5213940739631653,
0,2699,,0.47593042254447937,
0,2749,,0.44240355491638184,
0,2799,,0.48606136441230774,
0,2849,,0.4382937550544739,
0,2899,,0.37520843744277954,
0,2949,,0.4426788091659546,
0,2999,,0.4741241931915283,
0,3049,,0.40020808577537537,
0,3099,,0.585675835609436,
0,3149,,0.43031245470046997,
0,3199,,0.4867894649505615,
0,3249,,0.4893505573272705,
0,3299,,0.45022857189178467,
0,3306,,,0.46005159616470337
0,3306,0.49965617060661316,,
1,3349,,0.3794252574443817,
1,3399,,0.35779398679733276,
1,3449,,0.37992891669273376,
1,3499,,0.519675076007843,
1,3549,,0.37801605463027954,
1,3599,,0.4535016715526581,
1,3649,,0.4820561707019806,
1,3699,,0.40754732489585876,
1,3749,,0.4407089352607727,
1,3799,,0.44758230447769165,
1,3849,,0.4111264944076538,
1,3899,,0.4203376770019531,
1,3949,,0.40038418769836426,
1,3999,,0.47944754362106323,
1,4049,,0.4278903305530548,
1,4099,,0.3606105446815491,
1,4149,,0.36061227321624756,
1,4199,,0.5095363855361938,
1,4249,,0.43911588191986084,
1,4299,,0.4309913218021393,
1,4349,,0.36385658383369446,
1,4399,,0.42234253883361816,
1,4449,,0.4445667266845703,
1,4499,,0.4155002236366272,
1,4549,,0.43618184328079224,
1,4599,,0.4249211847782135,
1,4649,,0.4552963972091675,
1,4699,,0.42696094512939453,
1,4749,,0.46434712409973145,
1,4799,,0.41199371218681335,
1,4849,,0.40501636266708374,
1,4899,,0.4804903566837311,
1,4949,,0.4409027397632599,
1,4999,,0.38756924867630005,
1,5049,,0.38955745100975037,
1,5099,,0.3484915494918823,
1,5149,,0.41846054792404175,
1,5199,,0.41246387362480164,
1,5249,,0.3966715633869171,
1,5299,,0.38141483068466187,
1,5349,,0.5109012126922607,
1,5399,,0.507286548614502,
1,5449,,0.3389301300048828,
1,5499,,0.4378209710121155,
1,5549,,0.4652354419231415,
1,5599,,0.48079508543014526,
1,5649,,0.4627365171909332,
1,5699,,0.5368599891662598,
1,5749,,0.4516518712043762,
1,5799,,0.37157368659973145,
1,5849,,0.41392654180526733,
1,5899,,0.4719589352607727,
1,5949,,0.40173816680908203,
1,5999,,0.4198591113090515,
1,6049,,0.3760923743247986,
1,6099,,0.48068055510520935,
1,6149,,0.3721904754638672,
1,6199,,0.4265277683734894,
1,6249,,0.37045449018478394,
1,6299,,0.4306592345237732,
1,6349,,0.4171849489212036,
1,6399,,0.3817328214645386,
1,6449,,0.3576369285583496,
1,6499,,0.40822353959083557,
